"","log2FC","P.Value","adj.P.Val","Expression"
"ENSG00000185404",-5.27104497591085,1.93801142152773e-20,3.61044350010537e-19,9.78534453771662
"ENSG00000227254",13.1848408854549,3.02975536420575e-20,5.44273910069818e-19,9.70239939282848
"ENSG00000198788",-13.5105443297018,4.35848953790214e-20,7.55972495711991e-19,7.59683296955542
"ENSG00000251191",-10.5834795496291,4.73226649344871e-20,7.934433487349e-19,8.34775754774862
"ENSG00000254268",8.36810644159365,6.66580397788254e-20,1.08158045189514e-18,8.1702568877149
"ENSG00000106258",-4.84931331064683,1.11871186050659e-19,1.75774231523491e-18,9.74661032393577
"ENSG00000258675",-8.39506263046248,1.15390499556264e-19,1.75774231523491e-18,7.56481021148508
"ENSG00000132000",-5.92415485606569,1.22287845905719e-19,1.75774231523491e-18,9.58193269539646
"ENSG00000115392",-6.14866744375087,1.23548661024274e-19,1.75774231523491e-18,7.79966570048982
"ENSG00000271321",-8.69654646076093,1.25802630911445e-19,1.75774231523491e-18,8.71052681566001
"ENSG00000115661",7.21443890498741,1.55608251028001e-19,2.11543108829958e-18,5.51959912577777
"ENSG00000203999",-3.41876417710049,1.60057573924476e-19,2.11865683378977e-18,7.55329206759462
"ENSG00000243664",-5.99768112348094,2.022027262207e-19,2.60789669971826e-18,8.1296583117589
"ENSG00000237818",10.7770089830295,2.27008825406824e-19,2.85463597949081e-18,6.90848334323158
"ENSG00000172738",9.59022736846798,2.73391386209689e-19,3.35404554301155e-18,7.07900357000455
"ENSG00000252743",8.79328731669639,3.47708768982893e-19,4.16422644758084e-18,5.90897080036124
"ENSG00000198099",10.7586289753774,4.04191458639825e-19,4.72810008594958e-18,5.7567409957781
"ENSG00000169484",-9.11054674981689,4.22774697191284e-19,4.83308347016399e-18,6.6885412166682
"ENSG00000178726",-10.3226834929897,6.28945124213655e-19,7.03020883287708e-18,6.45599216580698
"ENSG00000251367",4.78900011210211,6.8420789975798e-19,7.48166464300574e-18,7.95483298622651
"ENSG00000158710",8.53770600008208,7.06601148891215e-19,7.56213569983576e-18,8.15227421834156
"ENSG00000264482",-11.1747297490576,7.96987493193447e-19,8.35176477242299e-18,7.96829145157059
"ENSG00000247092",9.317978890512,8.55397615803643e-19,8.78091838263739e-18,4.07509264772241
"ENSG00000242602",7.7020205535943,9.12636362199071e-19,9.18112180372265e-18,7.60899929337634
"ENSG00000094914",-8.40541165286986,1.07795119910171e-18,1.06315579048659e-17,7.76510354468483
"ENSG00000212450",4.14480832949874,1.18944188797602e-18,1.15055628779219e-17,8.05135071854485
"ENSG00000257281",6.5126482770849,1.23327296052969e-18,1.15591166676093e-17,8.55683021964433
"ENSG00000126010",10.3530503331659,1.24093896630398e-18,1.15591166676093e-17,8.18036925355966
"ENSG00000169575",-5.71291417876722,1.73344211604088e-18,1.56299260003923e-17,6.10317871551946
"ENSG00000252126",7.32939142688355,1.74011104576933e-18,1.56299260003923e-17,9.5051034313521
"ENSG00000124209",5.92519305093299,1.80079618774618e-18,1.58912365339707e-17,8.14535482757003
"ENSG00000235613",-5.83580421887589,2.0822770935058e-18,1.80583685867831e-17,7.05553189122832
"ENSG00000267190",-6.09805453527253,2.7656105924259e-18,2.35780021693259e-17,8.94202847158073
"ENSG00000231276",-12.3249248404431,2.85553614361873e-18,2.3938911337337e-17,6.48840854660857
"ENSG00000235354",-8.82550280917277,3.96848989824194e-18,3.27237773576344e-17,6.49855015624681
"ENSG00000013441",4.371884886666,4.30762179792306e-18,3.49473187799242e-17,5.50589713413784
"ENSG00000175946",4.06395768742306,5.03821852186101e-18,4.01924395975006e-17,10.8161747501167
"ENSG00000241246",-3.54876476391725,5.11394857701797e-18,4.01924395975006e-17,7.07087692777954
"ENSG00000100129",-7.33648379792558,5.26550485853112e-18,4.07469068283254e-17,7.09317020304067
"ENSG00000167283",-4.61688375406117,6.52094606723287e-18,4.96975132093657e-17,8.5023252565816
"ENSG00000235836",12.2239271120479,7.76871941621946e-18,5.83233711396774e-17,5.06270786933679
"ENSG00000167414",-4.29751486760566,7.8975804928105e-18,5.84188674688777e-17,8.8554626632979
"ENSG00000173068",-7.41438269626445,1.12868876216338e-17,8.22797749808959e-17,5.30620425757451
"ENSG00000235522",4.25266639142102,1.27413037262588e-17,9.15553682044023e-17,9.58030437307915
"ENSG00000205485",-3.55069957417488,1.35944501091359e-17,9.63099775337375e-17,8.93673380154887
"ENSG00000230818",-6.14584658909407,1.39200660162731e-17,9.72471278636856e-17,8.84309478884362
"ENSG00000244003",-5.84004620875064,1.79161481740879e-17,1.23449623720085e-16,7.78311796336347
"ENSG00000223500",-3.61626872074656,2.0751412829193e-17,1.41053522338974e-16,9.44367140828421
"ENSG00000235612",9.04714026713334,2.47614295708737e-17,1.66066654321993e-16,7.28242133636162
"ENSG00000239211",-7.48995111695738,2.52582747886214e-17,1.67169897614166e-16,8.20063162242389
"ENSG00000278492",-5.4878075441024,3.46451612309458e-17,2.25457607466583e-16,7.34885248763817
"ENSG00000161265",3.49486756440701,3.49616170624125e-17,2.25457607466583e-16,12.8890587684448
"ENSG00000271614",3.70432676802947,3.55153465101262e-17,2.26129358159411e-16,10.0693940462529
"ENSG00000213397",-4.89984271299044,6.62285995029883e-17,4.16412319375039e-16,8.0539217993533
"ENSG00000100365",-4.49689662532053,7.38017873712689e-17,4.53754364739947e-16,11.2260012514901
"ENSG00000283045",10.6268244211502,7.39718845102895e-17,4.53754364739947e-16,8.863978237163
"ENSG00000213965",-9.81027194041897,9.12533992844137e-17,5.53017588434459e-16,6.45061326142035
"ENSG00000182965",-4.46041155669528,9.46368783017733e-17,5.66694640307048e-16,8.79038415322279
"ENSG00000283398",-5.94036642749676,1.06605014886627e-16,6.30850852799689e-16,6.36862165084137
"ENSG00000227586",-5.07109286034284,1.21976876525028e-16,7.13422894094059e-16,6.94915435808936
"ENSG00000273319",9.9882894502792,1.2498537107689e-16,7.22616570708916e-16,7.57058648893466
"ENSG00000226194",5.99443191350133,1.37503475697103e-16,7.85957366768671e-16,6.11317618343793
"ENSG00000122872",-10.4036510652854,1.5668592569895e-16,8.85539557601933e-16,7.11657612450954
"ENSG00000260370",5.06239686054451,1.81208896638764e-16,1.0127563889922e-15,7.55052146533609
"ENSG00000123454",5.91888069764749,2.05039573865097e-16,1.13059882160102e-15,8.44140162150772
"ENSG00000198355",-9.99339239470666,2.06789446495613e-16,1.13059882160102e-15,7.75426309395678
"ENSG00000253023",8.49323690289622,2.30629986797721e-16,1.24738584257262e-15,9.00010760639319
"ENSG00000230716",7.46065799860162,2.3730835299672e-16,1.26985214422713e-15,9.64515291930773
