"","log2FC","P.Value","adj.P.Val","Expression"
"ENSG00000254919",3.96095562734019,1.05424884888147e-16,5.52382469778519e-16,8.44303156864497
"ENSG00000282995",-7.07226298018691,1.15091730784124e-16,5.96815882313549e-16,7.7113337933251
"ENSG00000123454",-6.7894438375817,1.24625357554043e-16,6.39658722955957e-16,8.44140162150772
"ENSG00000076944",-5.92868371927984,1.3688880478479e-16,6.95505745522722e-16,8.44812627785093
"ENSG00000153779",3.94163064338176,1.40453259491604e-16,7.06479895242766e-16,8.99605706068962
"ENSG00000250277",-12.1619264486319,1.53834751405113e-16,7.66127524324472e-16,9.44024969801302
"ENSG00000185551",-11.2978819281218,1.99818141278831e-16,9.85377696698547e-16,5.56900872877451
"ENSG00000270722",-9.23283503035633,2.0296166444339e-16,9.91162303058498e-16,8.55974067324011
"ENSG00000234467",-4.82775925194865,2.23185470462757e-16,1.07944511194968e-15,7.96304254923983
"ENSG00000177565",-2.34423172638233,2.41207867368547e-16,1.15550054558457e-15,8.44633948208667
"ENSG00000233805",-8.68584647744132,2.45507774682265e-16,1.15782727853512e-15,6.70901652598305
"ENSG00000183347",7.44813539612253,2.46297254082024e-16,1.15782727853512e-15,9.27078810390198
"ENSG00000234707",4.41238743481369,2.54348345915979e-16,1.18458247848979e-15,9.63786096720565
"ENSG00000115661",-3.91543971761928,2.56698787585263e-16,1.18458247848979e-15,5.51959912577777
"ENSG00000115170",2.88345475937012,3.00027811772756e-16,1.37194535746996e-15,9.35858964460233
"ENSG00000134200",4.9418160905895,4.73598861554891e-16,2.14612817443342e-15,8.39659238753828
"ENSG00000254115",-6.17562697538817,5.01407442819767e-16,2.2504117084215e-15,9.10539328212494
"ENSG00000126010",-3.73914532845203,5.05559687975407e-16,2.2504117084215e-15,8.18036925355966
"ENSG00000257191",-8.42387501517704,5.19670055631464e-16,2.29293015774234e-15,8.20838652270126
"ENSG00000100129",6.33585126432082,5.25956406306471e-16,2.30048758584483e-15,7.09317020304067
"ENSG00000272078",-7.68955786272838,5.75448072916234e-16,2.49016641329906e-15,8.5675944793539
"ENSG00000225463",-6.51045000857896,5.79223599117277e-16,2.49016641329906e-15,9.12209689006379
"ENSG00000238019",6.07987852277915,6.07553986980607e-16,2.58982758856987e-15,8.70296867553996
"ENSG00000258050",-7.47708962593354,6.92771369896701e-16,2.9282688996474e-15,9.4882397316246
"ENSG00000266228",5.00482785077324,1.00335430654322e-15,4.20572680159368e-15,5.11175744494433
"ENSG00000196670",-6.75797002005815,1.04142350774144e-15,4.32922334209872e-15,8.00564988631546
"ENSG00000255005",-6.90130929888121,1.25611535923621e-15,5.17890184996568e-15,7.3236033070832
"ENSG00000254944",-7.5449662515589,1.28572589654398e-15,5.25788720294001e-15,6.91514992232069
"ENSG00000114650",7.98737141232762,1.3159298896238e-15,5.33800592323202e-15,7.9855902089673
"ENSG00000214107",-8.78683327127531,1.33753981883008e-15,5.38226023097223e-15,8.39753711318982
"ENSG00000238443",-8.86791842652408,1.64519093447732e-15,6.56770666700072e-15,5.92916228140537
"ENSG00000248229",6.42352932253509,1.73559765246167e-15,6.87405999360804e-15,9.85555703238592
"ENSG00000253159",-6.05692321564253,1.87738048205742e-15,7.37751861308503e-15,9.72122612951496
"ENSG00000226194",-4.94297354987523,2.00985394818328e-15,7.83687237159838e-15,6.11317618343793
"ENSG00000207264",-9.65434147446416,2.08391397179344e-15,8.06314406009306e-15,8.43755061908321
"ENSG00000283045",-4.45757495856179,3.02535072493293e-15,1.16164230125287e-14,8.863978237163
"ENSG00000197172",3.47184897662478,3.95934097777418e-15,1.50874887259122e-14,9.92213481508856
"ENSG00000257985",-3.47358321422562,4.2374154590766e-15,1.6025714104628e-14,10.1636957067575
"ENSG00000100365",3.9541427514655,4.33761111283496e-15,1.62822267892238e-14,11.2260012514901
"ENSG00000184454",-3.06709043599092,5.82033295417179e-15,2.16861294514697e-14,9.41848465565706
"ENSG00000143942",5.53244581773928,7.22744754829752e-15,2.67309273293651e-14,7.81623313263298
"ENSG00000252091",-2.86981351781789,7.93316726894862e-15,2.91268842064318e-14,8.71552037084578
"ENSG00000171101",7.34580238839146,8.74039278907939e-15,3.18580983543981e-14,8.37096409077897
"ENSG00000248809",-7.36600881814825,8.98950694984547e-15,3.23025330935567e-14,6.94335957870104
"ENSG00000198355",8.97754832487225,8.99076467812711e-15,3.23025330935567e-14,7.75426309395678
"ENSG00000221065",-9.96849359198894,1.01357219058252e-14,3.61579299193624e-14,8.09643871830417
"ENSG00000230112",-2.78016242855274,1.18557446144323e-14,4.19960531060525e-14,9.94094218555035
"ENSG00000235508",6.21031547347532,1.24930087401286e-14,4.39439398341586e-14,8.56695474631866
"ENSG00000185404",3.47056981917962,1.34688417016129e-14,4.70474123327171e-14,9.78534453771662
"ENSG00000242014",-5.05856340150575,1.4121702902401e-14,4.89877004131566e-14,9.58047326082431
"ENSG00000119535",-3.81532171108044,1.51137036896443e-14,5.20698147663774e-14,7.78818166635905
"ENSG00000258875",-7.92937026023332,1.59757911905597e-14,5.46654623731397e-14,7.99999643237766
"ENSG00000101294",7.08882520990325,1.68804909824191e-14,5.73708578659245e-14,7.67298127053423
"ENSG00000251118",-4.77926245285707,2.17294186349714e-14,7.33550172710781e-14,9.16731996540494
"ENSG00000266321",4.4590345979623,2.2358533398054e-14,7.49756153281412e-14,7.1077271379439
"ENSG00000115687",9.35158321541761,2.26493552483827e-14,7.54478522512351e-14,9.50546963969986
"ENSG00000143297",-3.11722365016207,2.81390200524916e-14,9.31179413579163e-14,9.31278132915508
"ENSG00000223500",-4.53405592755177,2.96595199605039e-14,9.7508095033552e-14,9.44367140828421
"ENSG00000235598",-8.19138036256469,3.73802067153796e-14,1.22092493362571e-13,7.84774322940257
"ENSG00000200361",-6.34461032709112,3.81953897981212e-14,1.23950200441645e-13,7.30586752714209
"ENSG00000229935",-5.89626709780356,5.5677965987727e-14,1.79382515509749e-13,7.02075895681293
"ENSG00000121067",-4.53503573571644,5.59901688569197e-14,1.79382515509749e-13,8.56739625305592
"ENSG00000283599",-5.32853046798048,5.70663583156052e-14,1.8167327995411e-13,7.27766548771051
"ENSG00000205485",-5.97966298012834,5.79498815555181e-14,1.83325725927205e-13,8.93673380154887
"ENSG00000263465",-8.36054720069555,7.24968051357739e-14,2.27911831145589e-13,8.79970784402431
"ENSG00000226928",11.4223240390097,8.97298664939971e-14,2.80336166748326e-13,6.10641767539235
"ENSG00000201388",-10.077676057153,9.86054868933051e-14,3.06163950045262e-13,6.35570585202304
"ENSG00000177138",3.06345234520984,9.97196525089905e-14,3.07723835656578e-13,9.48709701163971
"ENSG00000272375",5.67924612060453,1.04541732958674e-13,3.20637144379349e-13,8.99240416390028
"ENSG00000124256",5.69864733830887,1.0696240730655e-13,3.26073278031484e-13,9.86967185963009
"ENSG00000228358",7.55868772481644,1.18370074351576e-13,3.58675586740015e-13,3.40275166549435
"ENSG00000124370",2.7680431588663,1.25948500208113e-13,3.79353865896294e-13,8.47485537324216
"ENSG00000279778",5.96083872502864,1.2747266146184e-13,3.79656314477619e-13,6.7656674068938
"ENSG00000120318",-2.91238511196551,1.27558483393077e-13,3.79656314477619e-13,11.6051797296076
"ENSG00000163554",9.0970361681192,1.5152958632129e-13,4.48349305409464e-13,6.39134596387106
"ENSG00000271113",4.27824705397876,1.54780571196663e-13,4.55290218198371e-13,10.3656798526819
"ENSG00000267275",3.72409974916979,1.62326511103849e-13,4.7471066910021e-13,9.43805353154297
"ENSG00000241794",-3.77752026635175,1.74477026184242e-13,5.07294474974992e-13,7.63126295468287
"ENSG00000228210",8.79028183763471,2.31009135365763e-13,6.67802270626314e-13,6.66028719692227
"ENSG00000132744",2.25001814170877,2.36480720119126e-13,6.79713155542401e-13,9.88302060339312
"ENSG00000248490",-6.67675839069624,2.7298397697618e-13,7.80175797835333e-13,6.77159914294322
"ENSG00000242136",3.2340921923984,3.17743786254348e-13,9.02966805005293e-13,9.5908003279168
"ENSG00000137831",-2.13608668454276,4.26247230152592e-13,1.20450762228513e-12,10.8982998913173
"ENSG00000263426",3.92151478633635,5.01505591698616e-13,1.40626650036523e-12,7.25553476546065
"ENSG00000272777",3.75712527617235,5.03236521005449e-13,1.40626650036523e-12,8.30813276461715
"ENSG00000232864",4.78092965016562,5.76330346378301e-13,1.60162521673086e-12,6.70636737753736
"ENSG00000266973",-7.28494017389601,6.20335254535106e-13,1.71444303863274e-12,7.03853385473725
"ENSG00000271614",-2.52528235102319,8.10203377755202e-13,2.22695245361129e-12,10.0693940462529
"ENSG00000219757",-7.30812086163615,8.41130271431179e-13,2.29939416592328e-12,4.70722179586713
"ENSG00000226683",-5.94470981835392,8.74387003438728e-13,2.37738736610638e-12,5.56770418358623
"ENSG00000176720",7.67277640831306,8.97862312803002e-13,2.4280900179565e-12,7.18197750820651
"ENSG00000040341",6.90229137183353,1.47468795830355e-12,3.96667402688069e-12,5.32163427266838
"ENSG00000182965",-8.52848427197125,1.50121333123391e-12,4.01654417878008e-12,8.79038415322279
"ENSG00000204540",6.82408840353007,1.60997291538221e-12,4.28474273247224e-12,7.0736814810658
"ENSG00000214681",3.87238120101721,1.70897175393224e-12,4.52427785383115e-12,7.77256126965305
"ENSG00000254193",-6.38524809895852,1.96976211753523e-12,5.18738400586502e-12,6.31333272807906
"ENSG00000257826",-4.80167847898632,2.51587000134469e-12,6.59105526393947e-12,8.2247654468871
"ENSG00000132002",-5.12465436325854,2.72585982458969e-12,7.10418389517417e-12,8.64351464464214
